fecha_utc,fecha_bolivia,mercado,fiat,lado,mejor_precio_bruto,mejor_precio_limpio,promedio_top5_limpio,mediana_top10,descartados,precios_descartados,cantidad_anuncios,liquidez_total_usdt,mejor_min_orden,mejor_max_orden,mejor_comerciante,mejor_tipo,mejor_ordenes_mes,mejor_tasa_completado,metodos_pago_vistos,promocionados,precio_promocionado
2026-07-29 04:22:08,2026-07-29 00:22:08,BOB-todos,BOB,venta,11.84,11.84,11.84,11.835,0,,20,345627.07,5000,207585,_CryptoCambista_,merchant,1185,0.988,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,0,
2026-07-29 04:39:09,2026-07-29 00:39:09,USD-Zinli,USD,compra,1.005,1.01,1.0146,1.016,1,1.005,20,63635.61,320,325,Alexander,user,37,0.924,ACHXpressPanama|Banesco|MercantilBankPanama|PuntoPagoPanama|Towerbank|Zinli,0,
2026-07-29 04:39:09,2026-07-29 00:39:09,USD-Zinli,USD,venta,1.007,1.007,1.0048,1.003,0,,20,6273.23,995,998,User-38a6f,user,1,1.0,Zinli,1,0.958
2026-07-29 04:39:09,2026-07-29 00:39:09,BOB-todos,BOB,compra,11.88,11.88,11.894,11.9,0,,20,44665.97,300,16000,tamara7869,user,539,0.988,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-07-29 04:39:09,2026-07-29 00:39:09,BOB-todos,BOB,venta,11.85,11.85,11.846,11.84,0,,20,274490.6,5000,70000,Lulu-FX,merchant,1862,0.999,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos|TigoMoney,0,
2026-07-29 04:44:04,2026-07-29 00:44:04,USD-Zinli,USD,compra,1.01,1.01,1.0146,1.016,0,,20,63661.0,320,325,Alexander,user,37,0.924,ACHXpressPanama|Banesco|MercantilBankPanama|Mony|PuntoPagoPanama|Towerbank|Zinli,0,
2026-07-29 04:44:04,2026-07-29 00:44:04,USD-Zinli,USD,venta,1.007,1.007,1.0048,1.003,0,,20,5927.67,995,998,User-38a6f,user,1,1.0,Zinli,1,0.958
2026-07-29 04:44:04,2026-07-29 00:44:04,BOB-todos,BOB,compra,11.88,11.88,11.896,11.9,0,,20,70096.08,300,16000,tamara7869,user,539,0.988,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-07-29 04:44:04,2026-07-29 00:44:04,BOB-todos,BOB,venta,11.85,11.85,11.846,11.84,0,,20,286651.1,5000,70000,Lulu-FX,merchant,1862,0.999,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos|TigoMoney,0,
2026-07-29 12:32:16,2026-07-29 08:32:16,USD-Zinli,USD,compra,1.018,1.018,1.0186,1.019,0,,20,54107.37,30,15000,EnviApp,merchant,173,1.0,ACHXpressPanama|BancoGeneralPanama|BancoLafisePanama|MercantilBankPanama|Mony|PuntoPagoPanama|YappyPanama|Zinli,0,
2026-07-29 12:32:16,2026-07-29 08:32:16,USD-Zinli,USD,venta,1.013,1.013,1.011,1.0095,0,,20,5169.99,10,510,joseger98,user,45,1.0,Zinli,0,
2026-07-29 12:32:16,2026-07-29 08:32:16,BOB-todos,BOB,compra,11.87,11.87,11.874,11.88,0,,20,46224.58,55,22786,Najbolji,user,52,0.946,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.99
2026-07-29 12:32:16,2026-07-29 08:32:16,BOB-todos,BOB,venta,11.84,11.84,11.838,11.83,0,,20,548672.29,10000,156899,_Kryptonita_,merchant,1523,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.43
2026-07-29 17:00:10,2026-07-29 13:00:10,USD-Zinli,USD,compra,1.016,1.016,1.0168,1.017,0,,20,30895.26,100,406,CHGP,user,20,1.0,ACHXpressPanama|MercantilBankPanama|Mony|Towerbank|Zinli,1,1.09
2026-07-29 17:00:10,2026-07-29 13:00:10,USD-Zinli,USD,venta,1.008,1.008,1.0068,1.006,0,,20,31924.48,25,997,Teranjoel,user,750,0.966,MercantilBankPanama|Mony|Zinli,0,
2026-07-29 17:00:10,2026-07-29 13:00:10,BOB-todos,BOB,compra,11.95,11.95,11.95,11.955,0,,20,149418.25,55,4577,cripto-kaysa1,user,140,0.966,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,12.1
2026-07-29 17:00:10,2026-07-29 13:00:10,BOB-todos,BOB,venta,11.93,11.93,11.924,11.92,0,,20,917657.53,20000,207585,Pope_02,merchant,672,0.982,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.66
2026-07-29 20:32:44,2026-07-29 16:32:44,USD-Zinli,USD,compra,1.016,1.016,1.0166,1.017,0,,20,57271.9,10,1500,Cesarbgomez,user,37,0.974,ACHXpressPanama|MercantilBankPanama|Mony|Towerbank|Zinli,0,
2026-07-29 20:32:44,2026-07-29 16:32:44,USD-Zinli,USD,venta,1.009,1.009,1.007,1.005,0,,20,87873.97,40,42,EasyChange_P2P,user,152,0.969,MercantilBankPanama|Mony|Zinli,0,
2026-07-29 20:32:44,2026-07-29 16:32:44,BOB-todos,BOB,compra,11.91,11.91,11.91,11.915,0,,20,112647.56,100,1500,Alejandro_CryptoScz,user,15,0.938,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,12.31
2026-07-29 20:32:44,2026-07-29 16:32:44,BOB-todos,BOB,venta,11.95,11.95,11.896,11.88,0,,20,669545.84,55,56,ElConTaDor-SpA,user,108,0.924,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoUnion|SoliPagos,1,11.68
2026-07-30 00:14:30,2026-07-29 20:14:30,USD-Zinli,USD,compra,1.016,1.016,1.0162,1.017,0,,20,55368.53,200,1508,PAGOSCRYPTO507,merchant,796,0.991,ACHXpressPanama|BancoGeneralPanama|BancoLafisePanama|MercantilBankPanama|Mony|Towerbank|YappyPanama|Zinli,0,
2026-07-30 00:14:30,2026-07-29 20:14:30,USD-Zinli,USD,venta,1.009,1.009,1.007,1.005,0,,20,3444.67,10,291,Inversiones Viniltex,user,106,0.964,MercantilBankPanama|Mony|Zinli,1,0.968
2026-07-30 00:14:30,2026-07-29 20:14:30,BOB-todos,BOB,compra,11.92,11.92,11.928,11.94,0,,20,33822.12,55,500,Joota_p2p,user,242,0.95,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,12.1
2026-07-30 00:14:30,2026-07-29 20:14:30,BOB-todos,BOB,venta,11.95,11.95,11.914,11.9,0,,20,815266.1,55,56,ElConTaDor-SpA,user,108,0.924,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.7
2026-07-30 01:14:12,2026-07-29 21:14:12,USD-Zinli,USD,compra,1.006,1.006,1.0134,1.016,0,,20,18017.24,15,1500,EmilioUz,user,11,1.0,ACHXpressPanama|BancoGeneralPanama|BancoLafisePanama|Towerbank|YappyPanama|Zinli,1,1.09
2026-07-30 01:14:12,2026-07-29 21:14:12,USD-Zinli,USD,venta,1.01,1.01,1.0084,1.007,0,,20,3806.65,50,1000,cambiosfa14,user,636,0.973,MercantilBankPanama|Zinli,1,0.968
2026-07-30 01:14:12,2026-07-29 21:14:12,BOB-todos,BOB,compra,11.91,11.91,11.916,11.92,0,,20,204560.09,3000,200000,CRYPTOtop1CBBA,merchant,786,0.993,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,12.2
2026-07-30 01:14:12,2026-07-29 21:14:12,BOB-todos,BOB,venta,11.88,11.88,11.876,11.87,0,,20,664994.84,8000,207585,Cripto_Online,merchant,7599,0.983,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.7
2026-07-30 10:06:56,2026-07-30 06:06:56,USD-Zinli,USD,compra,1.016,1.016,1.0172,1.019,0,,20,41414.16,200,1508,PAGOSCRYPTO507,merchant,816,0.99,ACHXpressPanama|MercantilBankPanama|Towerbank|WallyTech|Zinli,0,
2026-07-30 10:06:56,2026-07-30 06:06:56,USD-Zinli,USD,venta,1.01,1.01,1.0042,1.0015,0,,20,14154.84,100,299,P2P-f310a520,user,29,0.853,MercantilBankPanama|Mony|Zinli,0,
2026-07-30 10:06:56,2026-07-30 06:06:56,BOB-todos,BOB,compra,11.92,11.92,11.924,11.93,0,,20,99418.18,3000,207585,AL ROMERO ,merchant,899,0.992,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-07-30 10:06:56,2026-07-30 06:06:56,BOB-todos,BOB,venta,11.88,11.88,11.874,11.87,0,,20,416332.95,2000,100000,CRYPTOtop1CBBA,merchant,895,0.994,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-07-30 16:14:39,2026-07-30 12:14:39,USD-Zinli,USD,compra,1.014,1.014,1.0144,1.015,0,,20,31151.09,100,1500,Davyjonespty,merchant,352,0.998,ACHXpressPanama|BancoGeneralPanama|Banesco|BanistmoPanama|CajadeahorrosPanama|MercantilBankPanama|Mony|PuntoPagoPanama|Towerbank|Zinli,0,
2026-07-30 16:14:39,2026-07-30 12:14:39,USD-Zinli,USD,venta,1.008,1.008,1.0062,1.005,0,,20,6419.14,40,130,Cj_sm20,user,132,0.993,ACHXpressPanama|MercantilBankPanama|Mony|Zinli,0,
2026-07-30 16:14:39,2026-07-30 12:14:39,BOB-todos,BOB,compra,11.88,11.88,11.89,11.9,0,,20,40120.56,1000,138390,P2P-66394b1b,user,26,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.99
2026-07-30 16:14:39,2026-07-30 12:14:39,BOB-todos,BOB,venta,11.96,11.96,11.886,11.86,0,,20,672867.21,50000,138390,P2P-72f993a5,user,32,0.712,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.78
